AVG_RANK,AUCTION,NAME,TEAM,BYE,PPR_RANK,STD_RANK,PPR_POSRANK,STD_POSRANK,PPR_AUCTION,STD_AUCTION
59.0 , 9.5 , JOIQUE BELL , DET , 9 , 58 , 60 , RB25 , RB27 , 10 , 9
59.5 , 9.5 , NICK FOLES , PHI , 7 , 56 , 63 , QB8 , QB8 , 11 , 8
60.0 , 9.0 , RASHAD JENNINGS , NYG , 8 , 65 , 55 , RB27 , RB24 , 8 , 10
60.0 , 9.0 , MICHAEL FLOYD , ARI , 4 , 64 , 56 , WR25 , WR22 , 8 , 10
60.0 , 9.0 , CORDARRELLE PATTERSON , MIN , 10 , 61 , 59 , WR23 , WR23 , 9 , 9
61.0 , 8.5 , TORREY SMITH , BAL , 11 , 69 , 53 , WR27 , WR21 , 6 , 11
62.0 , 9.0 , REGGIE WAYNE , IND , 10 , 57 , 67 , WR21 , WR27 , 11 , 7
64.5 , 7.5 , STEVEN JACKSON , ATL , 9 , 71 , 58 , RB28 , RB26 , 6 , 9
66.0 , 7.0 , T.Y. HILTON , IND , 10 , 67 , 65 , WR26 , WR26 , 7 , 7
66.5 , 7.5 , COLIN KAEPERNICK , SF , 8 , 62 , 71 , QB9 , QB9 , 9 , 6
68.0 , 7.5 , GOLDEN TATE , DET , 9 , 63 , 73 , WR24 , WR30 , 9 , 6
69.0 , 6.0 , JEREMY MACLIN , PHI , 7 , 74 , 64 , WR30 , WR25 , 5 , 7
69.5 , 6.5 , EMMANUEL SANDERS , DEN , 4 , 70 , 69 , WR28 , WR28 , 6 , 7
72.5 , 5.5 , MARQUES COLSTON , NO , 6 , 75 , 70 , WR31 , WR29 , 5 , 6
73.5 , 5.0 , KENDALL WRIGHT , TEN , 9 , 73 , 74 , WR29 , WR31 , 5 , 5
75.0 , 5.5 , STEVAN RIDLEY , NE , 10 , 82 , 68 , RB30 , RB29 , 4 , 7
76.5 , 4.5 , JASON WITTEN , DAL , 11 , 78 , 75 , TE6 , TE5 , 4 , 5
77.0 , 4.5 , PIERRE THOMAS , NO , 6 , 77 , 77 , RB29 , RB31 , 4 , 5
78.0 , 4.5 , ERIC DECKER , NYJ , 11 , 80 , 76 , WR33 , WR32 , 4 , 5
80.0 , 4.0 , SAMMY WATKINS , BUF , 9 , 81 , 79 , WR34 , WR34 , 4 , 4
80.0 , 4.0 , MIKE WALLACE , MIA , 5 , 79 , 81 , WR32 , WR35 , 4 , 4
80.5 , 4.5 , WES WELKER , DEN , 4 , 83 , 78 , WR35 , WR33 , 4 , 5
81.0 , 4.5 , BISHOP SANKEY , TEN , 9 , 90 , 72 , RB32 , RB30 , 3 , 6
82.0 , 4.0 , JORDAN CAMERON , CLE , 4 , 68 , 96 , TE5 , TE6 , 6 , 2
82.5 , 4.5 , RUSSELL WILSON , SEA , 4 , 66 , 99 , QB10 , QB10 , 7 , 2
83.5 , 3.5 , TERRANCE WILLIAMS , DAL , 11 , 85 , 82 , WR36 , WR36 , 3 , 4
85.0 , 3.5 , CECIL SHORTS , JAC , 11 , 87 , 83 , WR38 , WR37 , 3 , 4
86.0 , 3.5 , MATT RYAN , ATL , 9 , 72 , 100 , QB11 , QB11 , 5 , 2
87.0 , 3.0 , ANQUAN BOLDIN , SF , 8 , 86 , 88 , WR37 , WR38 , 3 , 3
88.0 , 3.0 , DANNY WOODHEAD , SD , 10 , 84 , 92 , RB31 , RB39 , 3 , 3
89.0 , 3.0 , DEANDRE HOPKINS , HOU , 10 , 88 , 90 , WR39 , WR39 , 3 , 3
89.5 , 3.0 , MAURICE JONES-DREW , OAK , 5 , 99 , 80 , RB34 , RB32 , 2 , 4
89.5 , 3.0 , DARREN SPROLES , PHI , 7 , 94 , 85 , RB33 , RB34 , 2 , 4
91.5 , 3.0 , RILEY COOPER , PHI , 7 , 89 , 94 , WR40 , WR40 , 3 , 3
93.0 , 3.0 , DANNY AMENDOLA , NE , 10 , 91 , 95 , WR41 , WR41 , 3 , 3
93.5 , 3.0 , FRED JACKSON , BUF , 9 , 103 , 84 , RB35 , RB33 , 2 , 4
93.5 , 3.5 , TOM BRADY , NE , 10 , 76 , 111 , QB12 , QB12 , 5 , 2
94.5 , 2.5 , GREG JENNINGS , MIN , 10 , 92 , 97 , WR42 , WR42 , 3 , 2
96.0 , 3.0 , DEANGELO WILLIAMS , CAR , 12 , 106 , 86 , RB36 , RB35 , 2 , 4
98.0 , 2.0 , STEVE SMITH , BAL , 11 , 95 , 101 , WR44 , WR43 , 2 , 2
99.0 , 2.5 , LAMAR MILLER , MIA , 5 , 109 , 89 , RB38 , RB37 , 2 , 3
99.5 , 2.0 , DWAYNE BOWE , KC , 6 , 93 , 106 , WR43 , WR44 , 2 , 2
99.5 , 2.0 , SEATTLE SEAHAWKSD/ST ,  , 4 , 101 , 98 , DEF1 , DEF1 , 2 , 2
100.0 , 2.5 , KNOWSHON MORENO , MIA , 5 , 107 , 93 , RB37 , RB40 , 2 , 3
100.5 , 2.0 , KHIRY ROBINSON , NO , 6 , 114 , 87 , RB39 , RB36 , 1 , 3
104.5 , 2.0 , GREG OLSEN , CAR , 12 , 105 , 104 , TE8 , TE7 , 2 , 2
106.0 , 2.0 , DENNIS PITTA , BAL , 11 , 102 , 110 , TE7 , TE8 , 2 , 2
106.0 , 2.0 , CHRIS IVORY , NYJ , 11 , 121 , 91 , RB41 , RB38 , 1 , 3
106.5 , 1.5 , TONY ROMO , DAL , 11 , 98 , 115 , QB13 , QB13 , 2 , 1
107.0 , 1.5 , HAKEEM NICKS , IND , 10 , 97 , 117 , WR46 , WR46 , 2 , 1
108.0 , 1.5 , MIKE EVANS , TB , 7 , 96 , 120 , WR45 , WR47 , 2 , 1
110.5 , 1.5 , BERNARD PIERCE , BAL , 11 , 116 , 105 , RB40 , RB43 , 1 , 2
110.5 , 1.5 , JUSTIN HUNTER , TEN , 9 , 108 , 113 , WR48 , WR45 , 2 , 1
111.0 , 1.5 , PHILIP RIVERS , SD , 10 , 104 , 118 , QB14 , QB14 , 2 , 1
114.0 , 1.5 , DARREN MCFADDEN , OAK , 5 , 125 , 103 , RB42 , RB42 , 1 , 2
116.0 , 1.0 , JAY CUTLER , CHI , 9 , 113 , 119 , QB15 , QB15 , 1 , 1
117.0 , 1.5 , SHONN GREENE , TEN , 9 , 132 , 102 , RB44 , RB41 , 1 , 2
120.0 , 1.5 , JEREMY HILL , CIN , 4 , 128 , 112 , RB43 , RB47 , 1 , 2
121.0 , 1.0 , RUEBEN RANDLE , NYG , 8 , 117 , 125 , WR51 , WR48 , 1 , 1
121.5 , 1.0 , BEN ROETHLISBERGER , PIT , 12 , 120 , 123 , QB16 , QB16 , 1 , 1
122.5 , 1.0 , JARRETT BOYKIN , GB , 9 , 112 , 133 , WR50 , WR50 , 1 , 1
123.5 , 1.5 , JAMES JONES , OAK , 5 , 100 , 147 , WR47 , WR53 , 2 , 1
125.0 , 1.0 , MARKUS WHEATON , PIT , 12 , 111 , 139 , WR49 , WR52 , 1 , 1
125.0 , 1.5 , DONALD BROWN , SD , 10 , 141 , 109 , RB46 , RB46 , 1 , 2
126.5 , 1.0 , KYLE RUDOLPH , MIN , 10 , 115 , 138 , TE10 , TE9 , 1 , 1
128.0 , 1.0 , JORDAN REED , WAS , 10 , 110 , 146 , TE9 , TE10 , 1 , 1
129.0 , 1.0 , ANDY DALTON , CIN , 4 , 126 , 132 , QB17 , QB17 , 1 , 1
129.5 , 1.0 , SAN FRANCISCO 49ERSD/ST ,  , 8 , 119 , 140 , DEF3 , DEF3 , 1 , 1
130.5 , 1.0 , TAVON AUSTIN , STL , 4 , 130 , 131 , WR54 , WR49 , 1 , 1
131.5 , 1.0 , BRANDIN COOKS , NO , 6 , 127 , 136 , WR53 , WR51 , 1 , 1
132.0 , 1.0 , DENVER BRONCOSD/ST ,  , 4 , 123 , 141 , DEF4 , DEF4 , 1 , 1
132.5 , 1.0 , ROY HELU , WAS , 10 , 138 , 127 , RB45 , RB54 , 1 , 1
135.0 , 1.0 , ELI MANNING , NYG , 8 , 135 , 135 , QB18 , QB18 , 1 , 1
137.0 , 1.0 , MARK INGRAM , NO , 6 , 167 , 107 , RB48 , RB44 , 0 , 2
138.0 , 0.5 , TERRANCE WEST , CLE , 4 , 162 , 114 , RB47 , RB48 , 0 , 1
140.0 , 1.0 , CAROLINA PANTHERSD/ST ,  , 12 , 143 , 137 , DEF2 , DEF2 , 1 , 1
