AVG_RANK,AUCTION,NAME,TEAM,BYE,PPR_RANK,STD_RANK,PPR_POSRANK,STD_POSRANK,PPR_AUCTION,STD_AUCTION
257.0 , 0.0 , OWEN DANIELS , BAL , 11 , 224 , 290 , TE30 , TE27 , 0 , 0
257.0 , 0.0 , ANDREW QUARLESS , GB , 9 , 218 , 296 , TE28 , TE28 , 0 , 0
257.5 , 0.0 , BILAL POWELL , NYJ , 11 , 285 , 230 , RB81 , RB85 , 0 , 0
258.5 , 0.0 , JERREL JERNIGAN , NYG , 8 , 258 , 259 , WR92 , WR88 , 0 , 0
258.5 , 0.0 , JOSEPH RANDLE , DAL , 11 , 295 , 222 , RB84 , RB82 , 0 , 0
258.5 , 0.0 , COLE BEASLEY , DAL , 11 , 246 , 271 , WR90 , WR93 , 0 , 0
259.0 , 0.0 , RONNIE BROWN , HOU , 10 , 293 , 225 , RB83 , RB83 , 0 , 0
261.5 , 0.0 , MATT CASSEL , MIN , 10 , 260 , 263 , QB28 , QB28 , 0 , 0
262.5 , 0.0 , MATT ASIATA , MIN , 10 , 299 , 226 , RB86 , RB84 , 0 , 0
263.0 , 0.0 , ALEX HENERY , PHI , 7 , 245 , 281 , K14 , K14 , 0 , 0
266.0 , 0.0 , MOHAMED SANU , CIN , 4 , 241 , 291 , WR88 , WR98 , 0 , 0
267.0 , 0.0 , DAVANTE ADAMS , GB , 9 , 268 , 266 , WR95 , WR91 , 0 , 0
267.0 , 0.0 , KA'DEEM CAREY , CHI , 9 , 298 , 236 , RB85 , RB86 , 0 , 0
268.0 , 0.0 , DE'ANTHONY THOMAS , KC , 6 , 288 , 248 , RB82 , RB93 , 0 , 0
269.0 , 0.0 , JASON AVANT , CAR , 12 , 265 , 273 , WR94 , WR94 , 0 , 0
270.5 , 0.0 , NATE BURLESON , CLE , 4 , 261 , 280 , WR93 , WR95 , 0 , 0
270.5 , 0.0 , GREG LITTLE , OAK , 5 , 271 , 270 , WR96 , WR92 , 0 , 0
272.5 , 0.0 , BRANDON MCMANUS , DEN , 4 , 251 , 294 , K15 , K15 , 0 , 0
277.5 , 0.0 , GRAHAM GANO , CAR , 12 , 257 , 298 , K16 , K16 , 0 , 0
278.5 , 0.0 , ALLEN ROBINSON , JAC , 11 , 274 , 283 , WR97 , WR96 , 0 , 0
282.0 , 0.0 , MARTAVIS BRYANT , PIT , 12 , 278 , 286 , WR99 , WR97 , 0 , 0
284.5 , 0.0 , MATT SCHAUB , OAK , 5 , 280 , 289 , QB29 , QB29 , 0 , 0
291.5 , 0.0 , VINCENT BROWN , SD , 10 , 286 , 297 , WR101 , WR99 , 0 , 0
305.0 , 0.0 , MYCHAL RIVERA , OAK , 5 , 210 , 400 , TE26 , NA , 0 , 0
311.0 , 0.0 , TRAVIS KELCE , KC , 6 , 222 , 400 , TE29 , NA , 0 , 0
313.5 , 0.0 , CLEVELAND BROWNSD/ST ,  , 4 , 227 , 400 , DEF15 , NA , 0 , 0
319.0 , 0.0 , PITTSBURGH STEELERSD/ST ,  , 12 , 238 , 400 , DEF16 , NA , 0 , 0
320.0 , 0.0 , SCOTT CHANDLER , BUF , 9 , 240 , 400 , TE31 , NA , 0 , 0
321.5 , 0.0 , JERMAINE GRESHAM , CIN , 4 , 243 , 400 , TE32 , NA , 0 , 0
323.5 , 0.0 , NEW YORK GIANTSD/ST ,  , 8 , 247 , 400 , DEF17 , NA , 0 , 0
326.0 , 0.0 , MARCEDES LEWIS , JAC , 11 , 252 , 400 , TE33 , NA , 0 , 0
327.5 , 0.0 , PHILADELPHIA EAGLESD/ST ,  , 7 , 255 , 400 , DEF18 , NA , 0 , 0
331.5 , 0.0 , MIKE NUGENT , CIN , 4 , 263 , 400 , K17 , NA , 0 , 0
332.0 , 0.0 , DETROIT LIONSD/ST ,  , 9 , 264 , 400 , DEF19 , NA , 0 , 0
333.5 , 0.0 , ZACH MILLER , SEA , 4 , 267 , 400 , TE34 , NA , 0 , 0
335.0 , 0.0 , SHAUN SUISHAM , PIT , 12 , 270 , 400 , K18 , NA , 0 , 0
336.0 , 0.0 , BRANDON PETTIGREW , DET , 9 , 272 , 400 , TE35 , NA , 0 , 0
337.5 , 0.0 , JOHN BROWN , ARI , 4 , 275 , 400 , WR98 , NA , 0 , 0
339.5 , 0.0 , C.J. FIEDOROWICZ , HOU , 10 , 279 , 400 , TE36 , NA , 0 , 0
340.5 , 0.0 , INDIANAPOLIS COLTSD/ST ,  , 10 , 281 , 400 , DEF20 , NA , 0 , 0
341.5 , 0.0 , ACE SANDERS , JAC , 11 , 283 , 400 , WR100 , NA , 0 , 0
342.0 , 0.0 , BRENT CELEK , PHI , 7 , 284 , 400 , TE37 , NA , 0 , 0
343.5 , 0.0 , RYAN SUCCOP , KC , 6 , 287 , 400 , K19 , NA , 0 , 0
344.5 , 0.0 , CODY LATIMER , DEN , 4 , 289 , 400 , WR102 , NA , 0 , 0
345.0 , 0.0 , ANDRE CALDWELL , DEN , 4 , 290 , 400 , WR103 , NA , 0 , 0
345.5 , 0.0 , GREG ZUERLEIN , STL , 4 , 291 , 400 , K20 , NA , 0 , 0
346.0 , 0.0 , BRANDON BOSTICK , GB , 9 , 292 , 400 , TE38 , NA , 0 , 0
347.0 , 0.0 , RYAN BROYLES , DET , 9 , 294 , 400 , WR104 , NA , 0 , 0
348.0 , 0.0 , JOHN CARLSON , ARI , 4 , 296 , 400 , TE39 , NA , 0 , 0
348.5 , 0.0 , A.J. JENKINS , KC , 6 , 297 , 400 , WR105 , NA , 0 , 0
350.0 , 0.0 , JACOBY JONES , BAL , 11 , 300 , 400 , WR106 , NA , 0 , 0
