Rank 	Player 	Bye 	Pos. Rank 	Auction
117 	Hakeem Nicks, IND 	10 	WR46 	$1
118 	Philip Rivers, SD 	10 	QB14 	$1
119 	Jay Cutler, CHI 	9 	QB15 	$1
120 	Mike Evans, TB 	7 	WR47 	$1
121 	Carlos Hyde, SF 	8 	RB50 	$1
122 	James Starks, GB 	9 	RB51 	$1
123 	Ben Roethlisberger, PIT 	12 	QB16 	$1
124 	Knile Davis, KC 	6 	RB52 	$1
125 	Rueben Randle, NYG 	8 	WR48 	$1
126 	C.J. Anderson, DEN 	4 	RB53 	$1
127 	Roy Helu, WAS 	10 	RB54 	$1
128 	Andre Williams, NYG 	8 	RB55 	$1
129 	Jonathan Stewart, CAR 	12 	RB56 	$1
130 	Devonta Freeman, ATL 	9 	RB57 	$1
131 	Tavon Austin, STL 	4 	WR49 	$1
132 	Andy Dalton, CIN 	4 	QB17 	$1
133 	Jarrett Boykin, GB 	9 	WR50 	$1
134 	Ahmad Bradshaw, IND 	10 	RB58 	$1
135 	Eli Manning, NYG 	8 	QB18 	$1
136 	Brandin Cooks, NO 	6 	WR51 	$1
137 	Carolina PanthersD/ST	12 	DEF2 	$1
138 	Kyle Rudolph, MIN 	10 	TE9 	$1
139 	Markus Wheaton, PIT 	12 	WR52 	$1
140 	San Francisco 49ersD/ST	8 	DEF3 	$1
141 	Denver BroncosD/ST	4 	DEF4 	$1
142 	Arizona CardinalsD/ST	4 	DEF5 	$1
143 	Cincinnati BengalsD/ST	4 	DEF6 	$1
144 	St. Louis RamsD/ST	4 	DEF7 	$1
145 	Kansas City ChiefsD/ST	6 	DEF8 	$1
146 	Jordan Reed, WAS 	10 	TE10 	$1
147 	James Jones, OAK 	5 	WR53 	$1
148 	New England PatriotsD/ST	10 	DEF9 	$1
149 	Buffalo BillsD/ST	9 	DEF10 	$1
150 	Jordan Todman, JAC 	11 	RB59 	$1
151 	Stephen Gostkowski, NE 	10 	K1 	$1
152 	Justin Tucker, BAL 	11 	K2 	$1
153 	Mason Crosby, GB 	9 	K3 	$1
154 	Steven Hauschka, SEA 	4 	K4 	$1
155 	Phil Dawson, SF 	8 	K5 	$1
156 	Nick Novak, SD 	10 	K6 	$1
157 	Adam Vinatieri, IND 	10 	K7 	$1
