RANK,PLAYER,TEAM,BYE,POSRANK,AUCTION
125,DARREN MCFADDEN,OAK,5,RB42,1 
126,ANDY DALTON,CIN,4,QB17,1 
127,BRANDIN COOKS,NO,6,WR53,1 
128,JEREMY HILL,CIN,4,RB43,1 
129,CHARLES CLAY,MIA,5,TE13,1 
130,TAVON AUSTIN,STL,4,WR54,1 
131,BRIAN HARTLINE,MIA,5,WR55,1 
132,SHONN GREENE,TEN,9,RB44,1 
133,DOUG BALDWIN,SEA,4,WR56,1 
134,ZACH ERTZ,PHI,7,TE14,1 
135,ELI MANNING,NYG,8,QB18,1 
136,STEVE JOHNSON,SF,8,WR57,1 
137,JERRICHO COTCHERY,CAR,12,WR58,1 
138,ROY HELU,WAS,10,RB45,1 
139,BRANDON LAFELL,NE,10,WR59,1 
140,ARIZONA CARDINALSD/ST,,4,DEF5,1 
141,DONALD BROWN,SD,10,RB46,1 
142,MIKE WILLIAMS,BUF,9,WR60,1 
143,CAROLINA PANTHERSD/ST,,12,DEF2,1 
144,ANTONIO GATES,SD,10,TE15,1 
145,CINCINNATI BENGALSD/ST,,4,DEF6,1 
146,CARSON PALMER,ARI,4,QB19,1 
147,ST. LOUIS RAMSD/ST,,4,DEF7,1 
148,KANSAS CITY CHIEFSD/ST,,6,DEF8,1 
149,NEW ENGLAND PATRIOTSD/ST,,10,DEF9,1 
150,BUFFALO BILLSD/ST,,9,DEF10,1 
151,STEPHEN GOSTKOWSKI,NE,10,K1,1 
152,JUSTIN TUCKER,BAL,11,K2,1 
153,MASON CROSBY,GB,9,K3,1 
154,STEVEN HAUSCHKA,SEA,4,K4,1 
155,PHIL DAWSON,SF,8,K5,1 
156,NICK NOVAK,SD,10,K6,1 
157,ADAM VINATIERI,IND,10,K7,1 
158,BLAIR WALSH,MIN,10,K8,1 
159,DAN BAILEY,DAL,11,K9,1 
160,NICK FOLK,NYJ,11,K10,1 
161,DENARIUS MOORE,OAK,5,WR61,0
162,TERRANCE WEST,CLE,4,RB47,0
163,LADARIUS GREEN,SD,10,TE16,0
164,AARON DOBSON,NE,10,WR62,0
165,KELVIN BENJAMIN,CAR,12,WR63,0
166,HEATH MILLER,PIT,12,TE17,0
167,MARK INGRAM,NO,6,RB48,0
168,JOSH MCCOWN,TB,7,QB20,0
169,MARQISE LEE,JAC,11,WR64,0
