RANK,PLAYER,TEAM,BYE,POSRANK,AUCTION
125,RUEBEN RANDLE,NYG,8,WR48,1 
126,C.J. ANDERSON,DEN,4,RB53,1 
127,ROY HELU,WAS,10,RB54,1 
128,ANDRE WILLIAMS,NYG,8,RB55,1 
129,JONATHAN STEWART,CAR,12,RB56,1 
130,DEVONTA FREEMAN,ATL,9,RB57,1 
131,TAVON AUSTIN,STL,4,WR49,1 
132,ANDY DALTON,CIN,4,QB17,1 
133,JARRETT BOYKIN,GB,9,WR50,1 
134,AHMAD BRADSHAW,IND,10,RB58,1 
135,ELI MANNING,NYG,8,QB18,1 
136,BRANDIN COOKS,NO,6,WR51,1 
137,CAROLINA PANTHERSD/ST,,12,DEF2,1 
138,KYLE RUDOLPH,MIN,10,TE9,1 
139,MARKUS WHEATON,PIT,12,WR52,1 
140,SAN FRANCISCO 49ERSD/ST,,8,DEF3,1 
141,DENVER BRONCOSD/ST,,4,DEF4,1 
142,ARIZONA CARDINALSD/ST,,4,DEF5,1 
143,CINCINNATI BENGALSD/ST,,4,DEF6,1 
144,ST. LOUIS RAMSD/ST,,4,DEF7,1 
145,KANSAS CITY CHIEFSD/ST,,6,DEF8,1 
146,JORDAN REED,WAS,10,TE10,1 
147,JAMES JONES,OAK,5,WR53,1 
148,NEW ENGLAND PATRIOTSD/ST,,10,DEF9,1 
149,BUFFALO BILLSD/ST,,9,DEF10,1 
150,JORDAN TODMAN,JAC,11,RB59,1 
151,STEPHEN GOSTKOWSKI,NE,10,K1,1 
152,JUSTIN TUCKER,BAL,11,K2,1 
153,MASON CROSBY,GB,9,K3,1 
154,STEVEN HAUSCHKA,SEA,4,K4,1 
155,PHIL DAWSON,SF,8,K5,1 
156,NICK NOVAK,SD,10,K6,1 
157,ADAM VINATIERI,IND,10,K7,1 
158,BLAIR WALSH,MIN,10,K8,1 
159,DAN BAILEY,DAL,11,K9,1 
160,NICK FOLK,NYJ,11,K10,1 
161,STEVE JOHNSON,SF,8,WR54,0
162,CARSON PALMER,ARI,4,QB19,0
163,LATAVIUS MURRAY,OAK,5,RB60,0
164,BENJARVUS GREEN-ELLIS,CIN,4,RB61,0
165,ANDREW HAWKINS,CLE,4,WR55,0
166,BRYCE BROWN,BUF,9,RB62,0
167,BRANDON LAFELL,NE,10,WR56,0
168,JOSH MCCOWN,TB,7,QB20,0
169,DEXTER MCCLUSTER,TEN,9,RB63,0
170,DOUG BALDWIN,SEA,4,WR57,0
171,LANCE DUNBAR,DAL,11,RB64,0
172,JONATHAN DWYER,ARI,4,RB65,0
173,JOE FLACCO,BAL,11,QB21,0
174,MARTELLUS BENNETT,CHI,9,TE11,0
175,MARCEL REECE,OAK,5,RB66,0
176,KENNY STILLS,NO,6,WR58,0
177,RYAN TANNEHILL,MIA,5,QB22,0
178,ROBERT TURBIN,SEA,4,RB67,0
179,DENARIUS MOORE,OAK,5,WR59,0
180,ALEX SMITH,KC,6,QB23,0
181,TRE MASON,STL,4,RB68,0
182,JOHNNY MANZIEL,CLE,4,QB24,0
183,CHRIS POLK,PHI,7,RB69,0
184,DELANIE WALKER,TEN,9,TE12,0
185,ROD STREATER,OAK,5,WR60,0
186,MIKE TOLBERT,CAR,12,RB70,0
187,MARQISE LEE,JAC,11,WR61,0
188,ODELL BECKHAM,NYG,8,WR62,0
189,TAMPA BAY BUCCANEERSD/ST,,7,DEF11,0
190,NEW ORLEANS SAINTSD/ST,,6,DEF12,0
